epoch,time_elapsed,memory_used_mb
1,4.65,142.69
2,9.02,173.56
3,13.1,177.83
4,17.14,184.88
5,21.26,190.59
6,25.27,192.61
7,29.31,194.3
8,33.33,196.33
9,37.36,201.88
10,41.4,203.38
11,45.46,205.02
12,49.53,206.33
13,53.54,209.58
14,57.59,213.97
15,61.63,215.64
16,65.69,216.81
17,69.73,219.42
18,73.77,224.5
19,77.8,225.55
20,81.86,227.58
21,85.89,228.86
22,89.94,231.78
23,93.98,236.7
24,98.11,237.72
25,102.16,238.67
26,106.2,239.75
27,110.27,240.58
28,114.32,241.59
29,118.39,243.64
30,122.48,244.86
31,126.55,247.2
32,130.61,249.33
33,134.67,251.23
34,138.72,252.38
35,142.77,252.97
36,146.84,254.92
37,150.89,256.17
38,154.94,257.08
39,158.99,258.11
40,163.05,259.28
41,167.08,261.12
42,171.12,262.08
43,175.19,265.97
44,179.24,267.09
45,183.28,269.2
46,187.4,270.08
47,191.46,271.81
48,195.51,272.64
49,199.57,274.06
50,203.63,275.45
